x_m,y_m
0.0000,0.0000
0.9928,0.0000
1.9856,0.0000
2.9785,0.0000
3.9713,0.0000
4.9641,0.0000
5.9569,0.0000
6.9498,0.0000
7.9426,0.0000
8.9354,0.0000
9.9282,0.0000
10.9211,0.0000
11.9139,0.0000
12.9067,0.0000
13.8995,0.0000
14.8924,0.0000
15.8852,0.0000
16.8780,0.0000
17.8708,0.0000
18.8636,0.0000
19.8565,0.0000
20.8493,0.0000
21.8421,0.0000
22.8349,0.0000
23.8278,0.0000
24.8206,0.0000
25.8134,0.0000
26.8062,0.0000
27.7991,0.0000
28.7919,0.0000
29.7847,0.0000
30.7775,0.0000
31.7704,0.0000
32.7632,0.0000
33.7560,0.0000
34.7488,0.0000
35.7416,0.0000
36.7345,0.0000
37.7273,0.0000
38.7201,0.0000
39.7129,0.0000
40.7058,0.0000
41.6986,0.0000
42.6914,0.0000
43.6842,0.0000
44.6771,0.0000
45.6699,0.0000
46.6627,0.0000
47.6555,0.0000
48.6484,0.0000
49.6412,0.0000
50.6340,0.0000
51.6268,0.0000
52.6196,0.0000
53.6125,0.0000
54.6053,0.0000
55.5981,0.0000
56.5909,0.0000
57.5838,0.0000
58.5766,0.0000
59.5694,0.0000
60.5622,0.0000
61.5551,0.0000
62.5479,0.0000
63.5407,0.0000
64.5335,0.0000
65.5264,0.0000
66.5192,0.0000
67.5120,0.0000
68.5048,0.0000
69.4976,0.0000
70.4905,0.0000
71.4833,0.0000
72.4761,0.0000
73.4689,0.0000
74.4618,0.0000
75.4546,0.0000
76.4474,0.0000
77.4402,0.0000
78.4331,0.0000
79.4259,0.0000
80.4187,0.0000
81.4115,0.0000
82.4044,0.0000
83.3972,0.0000
84.3900,0.0000
85.3870,0.0136
86.3832,0.0545
87.3780,0.1225
88.3705,0.2177
89.3601,0.3400
90.3459,0.4892
91.3273,0.6653
92.3036,0.8682
93.2739,1.0976
94.2376,1.3535
95.1939,1.6356
96.1422,1.9437
97.0817,2.2776
98.0118,2.6371
98.9316,3.0218
99.8407,3.4315
100.7382,3.8659
101.6235,4.3246
102.4959,4.8073
103.3548,5.3137
104.1996,5.8433
105.0296,6.3959
105.8442,6.9709
106.6427,7.5679
107.4247,8.1865
108.1895,8.8263
108.9365,9.4867
109.6652,10.1673
110.3751,10.8675
111.0655,11.5868
111.7361,12.3247
112.3862,13.0807
113.0154,13.8542
113.6233,14.6445
114.2094,15.4512
114.7732,16.2735
115.3144,17.1110
115.8324,17.9629
116.3270,18.8287
116.7978,19.7076
117.2444,20.5991
117.6665,21.5024
118.0637,22.4170
118.4358,23.3420
118.7825,24.2769
119.1036,25.2209
119.3987,26.1733
119.6677,27.1334
119.9104,28.1005
120.1266,29.0739
120.3161,30.0528
120.4788,31.0365
120.6145,32.0243
120.7233,33.0154
120.8049,34.0092
120.8594,35.0047
120.8866,36.0015
120.8866,36.9985
120.8594,37.9953
120.8049,38.9908
120.7233,39.9846
120.6145,40.9757
120.4788,41.9635
120.3161,42.9472
120.1266,43.9261
119.9104,44.8995
119.6677,45.8666
119.3987,46.8267
119.1036,47.7791
118.7825,48.7231
118.4358,49.6580
118.0637,50.5830
117.6665,51.4976
117.2444,52.4009
116.7978,53.2924
116.3270,54.1713
115.8324,55.0371
115.3144,55.8890
114.7732,56.7265
114.2094,57.5488
113.6233,58.3555
113.0154,59.1458
112.3862,59.9193
111.7361,60.6753
111.0655,61.4132
110.3751,62.1325
109.6652,62.8327
108.9365,63.5133
108.1895,64.1737
107.4247,64.8135
106.6427,65.4321
105.8442,66.0291
105.0296,66.6041
104.1996,67.1567
103.3548,67.6863
102.4959,68.1927
101.6235,68.6754
100.7382,69.1341
99.8407,69.5685
98.9316,69.9782
98.0118,70.3629
97.0817,70.7224
96.1422,71.0563
95.1939,71.3644
94.2376,71.6465
93.2739,71.9024
92.3036,72.1318
91.3273,72.3347
90.3459,72.5108
89.3601,72.6600
88.3705,72.7823
87.3780,72.8775
86.3832,72.9455
85.3870,72.9864
84.3900,73.0000
83.3972,73.0000
82.4044,73.0000
81.4115,73.0000
80.4187,73.0000
79.4259,73.0000
78.4331,73.0000
77.4402,73.0000
76.4474,73.0000
75.4546,73.0000
74.4618,73.0000
73.4689,73.0000
72.4761,73.0000
71.4833,73.0000
70.4905,73.0000
69.4976,73.0000
68.5048,73.0000
67.5120,73.0000
66.5192,73.0000
65.5264,73.0000
64.5335,73.0000
63.5407,73.0000
62.5479,73.0000
61.5551,73.0000
60.5622,73.0000
59.5694,73.0000
58.5766,73.0000
57.5838,73.0000
56.5909,73.0000
55.5981,73.0000
54.6053,73.0000
53.6125,73.0000
52.6196,73.0000
51.6268,73.0000
50.6340,73.0000
49.6412,73.0000
48.6484,73.0000
47.6555,73.0000
46.6627,73.0000
45.6699,73.0000
44.6771,73.0000
43.6842,73.0000
42.6914,73.0000
41.6986,73.0000
40.7058,73.0000
39.7129,73.0000
38.7201,73.0000
37.7273,73.0000
36.7345,73.0000
35.7416,73.0000
34.7488,73.0000
33.7560,73.0000
32.7632,73.0000
31.7704,73.0000
30.7775,73.0000
29.7847,73.0000
28.7919,73.0000
27.7991,73.0000
26.8062,73.0000
25.8134,73.0000
24.8206,73.0000
23.8278,73.0000
22.8349,73.0000
21.8421,73.0000
20.8493,73.0000
19.8565,73.0000
18.8636,73.0000
17.8708,73.0000
16.8780,73.0000
15.8852,73.0000
14.8924,73.0000
13.8995,73.0000
12.9067,73.0000
11.9139,73.0000
10.9211,73.0000
9.9282,73.0000
8.9354,73.0000
7.9426,73.0000
6.9498,73.0000
5.9569,73.0000
4.9641,73.0000
